Gen,x0_0,x0_1,x1_0,x1_1,x2_0,x2_1,x3_0,x3_1,x4_0,x4_1,x5_0,x5_1,x6_0,x6_1,x7_0,x7_1,x8_0,x8_1,x9_0,x9_1,x10_0,x10_1,x11_0,x11_1,x12_0,x12_1,x13_0,x13_1,x14_0,x14_1,x15_0,x15_1,x16_0,x16_1,x17_0,x17_1,x18_0,x18_1,x19_0,x19_1,x20_0,x20_1,x21_0,x21_1,x22_0,x22_1,x23_0,x23_1,x24_0,x24_1,x25_0,x25_1,x26_0,x26_1,x27_0,x27_1,x28_0,x28_1,x29_0,x29_1,
293,-0.000061,-0.000671,0.000664,0.000001,-0.000920,-0.000007,-0.000779,-0.002020,-0.000888,0.003438,-0.000651,-0.003564,-0.000651,-0.003564,-0.001108,-0.003338,-0.000067,-0.004219,-0.000067,-0.004219,-0.002293,-0.000187,-0.000335,-0.004237,0.000750,0.004300,0.002430,0.000712,0.002273,0.002003,0.000807,-0.004600,-0.002447,0.002197,-0.002447,0.002197,-0.002432,0.002858,-0.002458,-0.002882,0.002255,-0.003477,0.002255,-0.003477,-0.003017,-0.000027,-0.002917,0.002217,-0.000312,0.006559,0.002935,-0.003687,-0.003641,-0.000528,-0.003773,0.001588,-0.003773,0.001588,-0.003526,-0.003023,
294,-0.000236,-0.001062,0.000095,-0.001066,-0.000687,-0.000351,0.000240,0.001606,0.001465,0.001711,0.001916,0.000026,0.001916,0.000657,0.001197,-0.003475,0.002247,0.000033,0.002247,0.000033,0.002017,-0.002164,0.002017,-0.002164,0.001375,0.003683,-0.001242,0.004151,-0.001242,0.004151,-0.001299,0.004127,0.001250,0.004186,-0.001299,0.004127,-0.002367,-0.002397,0.002514,-0.002086,0.002520,-0.002589,0.002520,-0.002589,-0.001920,-0.004367,-0.002481,0.003682,0.002736,-0.003023,0.002286,0.004419,0.002286,0.004419,-0.001979,0.004915,-0.003501,-0.001134,-0.000102,-0.006718,
295,0.000413,-0.000283,0.000848,-0.000291,0.000848,-0.000291,-0.001500,0.001104,0.000878,-0.002730,0.000878,-0.002730,0.001234,0.002464,0.001234,0.002464,0.001506,0.002509,-0.000493,0.003720,-0.002004,-0.002680,-0.001975,-0.003562,-0.001975,-0.003562,0.002810,0.000285,0.002810,0.000285,-0.002712,0.002258,0.002897,0.001795,0.002528,0.003592,0.002086,0.004625,0.001929,-0.004987,-0.003005,-0.003293,-0.003498,0.000084,0.002183,0.005154,0.002353,-0.005156,0.002206,-0.005510,0.001521,0.006770,0.001179,0.007027,-0.003045,0.004965,-0.003797,0.002790,-0.003624,-0.003507,
296,-0.000372,0.000071,0.000339,0.000929,0.000716,-0.001291,-0.000813,0.000965,0.001255,0.000216,0.001255,0.000216,0.000445,-0.002383,-0.001035,0.002047,0.001533,0.001204,0.000903,0.002703,-0.000185,0.003286,-0.000185,0.003286,0.000852,-0.003010,0.000322,0.003322,0.000852,-0.003010,0.001072,0.003089,0.001693,0.002030,-0.001312,-0.002976,0.000727,-0.003666,0.000727,-0.003666,-0.001110,-0.003457,0.002205,0.000511,0.002205,0.000511,0.001363,-0.003766,-0.001262,-0.004276,-0.001262,-0.004276,0.002180,-0.002780,-0.001183,-0.004409,-0.000391,0.005112,0.000832,0.005017,
297,-0.000220,0.002359,0.000006,0.002367,-0.000220,0.002359,0.000006,0.002367,0.001266,0.000873,0.001266,0.000869,-0.001256,0.002338,-0.001256,0.002338,0.001502,-0.001768,0.001771,-0.001656,0.001946,-0.000438,-0.001668,-0.002169,-0.001668,-0.002169,0.001854,0.001562,-0.002029,0.000266,-0.002029,0.000266,-0.002149,-0.000412,-0.001836,0.002149,0.001937,0.001972,-0.002401,0.001252,0.000902,-0.004333,0.002263,0.002474,0.000355,0.005058,-0.002221,-0.003254,-0.002221,-0.003254,0.002219,0.003294,0.000148,-0.005365,-0.002714,0.002144,-0.002714,0.002144,0.002300,0.003694,
298,0.000071,-0.000391,0.000068,0.000801,-0.000433,-0.000703,-0.000433,-0.000703,-0.000561,-0.000619,-0.000561,-0.000619,-0.000795,0.001158,-0.000795,0.001158,0.001081,0.000635,-0.000734,0.001812,-0.000734,0.001812,0.000315,-0.002360,0.000697,-0.002077,0.000315,-0.002360,0.000697,-0.002077,-0.000052,-0.002733,-0.000052,-0.002733,0.000258,0.002854,0.000258,0.002854,0.001374,-0.001677,0.000695,0.003010,0.001624,0.001880,0.000652,0.003399,0.001995,0.000921,-0.001614,-0.003094,0.001596,-0.003328,-0.001489,0.003488,-0.002318,-0.002110,-0.001593,0.003915,-0.001593,0.003915,
299,0.000235,-0.001972,0.000235,-0.001972,0.000823,-0.001885,-0.000197,0.002443,-0.001112,-0.002404,-0.001851,-0.000348,-0.001138,0.002664,-0.000285,0.003436,-0.001005,0.003031,-0.001529,0.002632,-0.001022,0.003558,-0.002184,-0.000450,-0.001022,0.003558,-0.002184,-0.000450,0.000708,-0.003922,0.000708,-0.003922,0.002176,0.001104,0.000743,-0.004100,-0.001399,-0.003581,-0.002403,-0.000731,-0.001105,-0.004228,-0.001105,-0.004228,-0.000258,-0.004915,-0.000258,-0.004915,0.001010,0.004631,0.002695,-0.001632,0.001063,-0.005091,-0.002083,0.003817,0.001632,-0.004618,-0.002059,0.003941,
300,0.000204,-0.001135,-0.000631,-0.000913,-0.000631,-0.000913,0.000472,-0.001451,-0.000840,-0.001537,-0.000840,-0.001537,-0.000181,-0.002497,-0.000678,0.002417,0.000067,-0.003041,0.000658,0.003192,0.000658,0.003192,0.001503,0.002088,0.001663,0.001713,0.000660,0.003219,0.001876,0.000506,0.000863,-0.003287,0.000863,-0.003287,-0.000137,-0.003709,0.002157,-0.000107,-0.002145,-0.001217,0.000086,0.004259,-0.002144,0.001538,-0.002144,0.001538,-0.002317,0.001305,-0.002317,0.001305,-0.002383,-0.001568,0.001982,-0.002975,-0.001285,0.004248,-0.001285,0.004248,-0.000534,-0.004901,
301,-0.000136,-0.000503,-0.000470,0.000932,-0.000847,-0.000081,0.001262,0.000102,0.001262,0.000102,0.001351,0.000094,-0.000229,-0.002553,-0.000229,-0.002553,0.001277,-0.001254,0.000936,0.002148,0.001434,0.000687,-0.000441,0.002606,0.001488,0.001119,0.001488,0.001119,-0.001183,0.002549,0.001587,0.001863,0.001810,0.001050,0.001866,-0.000719,0.001866,-0.000719,-0.001388,0.002529,-0.001328,-0.002595,0.000452,0.003804,0.001751,-0.002384,0.001975,0.001869,0.001975,0.001869,-0.002085,0.001693,-0.002085,0.001693,-0.002251,-0.000876,0.001779,0.002813,-0.002241,-0.001416,
302,0.000417,0.000890,0.000122,-0.001303,0.000122,-0.001303,-0.001076,-0.000699,-0.001108,0.000982,0.000796,0.001880,-0.001178,-0.000699,0.001290,0.000142,-0.000869,-0.001929,0.000617,-0.002361,0.000906,-0.001951,0.000059,0.002662,0.000059,0.002662,0.001420,-0.000874,-0.000145,0.002903,-0.001600,0.000354,-0.001614,0.000348,-0.001610,-0.001082,-0.001317,0.002037,0.000561,-0.003138,-0.001564,-0.001696,-0.000914,0.002902,-0.000914,0.002902,-0.001568,0.001858,0.001728,0.001365,-0.001851,0.000827,0.001744,0.001521,0.000513,-0.003555,-0.001888,-0.000849,0.001893,-0.000861,
303,0.000287,-0.000244,-0.000113,0.001161,0.000128,0.001847,-0.000684,-0.001218,0.000217,0.001829,-0.000097,-0.002133,-0.000097,-0.002133,-0.001187,0.000929,0.000031,0.002516,0.000544,-0.002655,-0.001533,-0.000331,-0.001533,-0.000331,0.001551,-0.000563,-0.001631,-0.000800,0.001610,-0.000881,0.000596,0.002915,0.001407,0.001665,-0.000128,-0.003198,-0.000128,-0.003198,-0.001572,-0.001110,-0.001592,0.001368,-0.001771,0.000184,-0.000857,-0.003568,0.001832,-0.002098,-0.001715,-0.002393,0.001236,0.003302,0.001681,0.002483,0.001730,-0.002534,0.001730,-0.002534,-0.001691,-0.002632,
304,0.000491,0.000472,0.000491,0.000472,-0.000195,-0.001176,0.000787,-0.000184,-0.000887,-0.000382,0.000709,-0.001171,0.000796,-0.001289,0.000796,-0.001289,-0.001169,0.000311,-0.001169,0.000311,0.001327,0.001553,0.001327,0.001553,-0.001465,0.001768,0.001775,-0.000183,0.001775,-0.000183,-0.000899,0.002865,-0.001060,0.002772,-0.001769,0.000855,0.001386,-0.002256,0.001386,-0.002256,0.000825,0.003151,-0.001699,-0.001571,0.000991,0.003132,-0.000339,-0.003735,-0.000881,0.003455,-0.002037,-0.000397,-0.000881,0.003455,-0.002048,-0.000974,-0.002048,-0.000974,-0.001511,-0.002968,
